Trường: Trường Đại Học Sài Gòn (Mã: SGD)
Các khối thi / tổ hợp xét tuyển:

- D49: Ngữ văn, Hóa học, Tiếng Pháp (6ngành)
- X36: Toán, Công nghệ nông nghiệp, Tiếng Pháp (20ngành)
- D51: Ngữ văn, Vật lí, Tiếng Đức (6ngành)
- D52: Ngữ văn, Vật lí, Tiếng Nga (6ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (6ngành)
- X39: Toán, Công nghệ công nghiệp, Tiếng Trung (20ngành)
- D56: Ngữ văn, Sinh học, Tiếng Đức (6ngành)
- X40: Toán, Công nghệ nông nghiệp, Tiếng Trung (20ngành)
- D57: Ngữ văn, Sinh học, Tiếng Nga (6ngành)
- D58: Ngữ văn, Sinh học, Tiếng Nhật (6ngành)
- D59: Ngữ văn, Sinh học, Tiếng Pháp (6ngành)
- D60: Ngữ văn, Sinh học, Tiếng Trung (6ngành)
- DH3: Ngữ văn, Vật lí, Tiếng Hàn (6ngành)
- DH4: Ngữ văn, Sinh học, Tiếng Hàn (6ngành)
- X30: Toán, Tin học, Tiếng Nga (20ngành)
- X31: Toán, Công nghệ công nghiệp, Tiếng Nga (20ngành)
- X32: Toán, Công nghệ nông nghiệp, Tiếng Nga (20ngành)
- X34: Toán, Tin học, Tiếng Pháp (20ngành)
- T10: Toán, Vật lý, Năng khiếu Thể dục Thể thao (20ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (6ngành)
- R04: Ngữ văn, Biểu diễn nghệ thuật, Năng khiếu văn hóa nghệ thuật (6ngành)
- M07: Ngữ Văn, Địa lý, Năng khiếu đọc diễn cảm và Hát (7ngành)
- H09: Ngữ Văn, Địa, Năng khiếu (7ngành)
- H10; H11; H06: Ngữ Văn, Ngoại ngữ, năng khiếu (6ngành)
- X35: Toán, Công nghệ công nghiệp, Tiếng Pháp (20ngành)
- X83: Ngữ văn, Tin học, Tiếng Nga (6ngành)
- T06: Toán, Địa lý, Năng khiếu Thể dục thể thao (22ngành)
- T07: Ngữ văn, Địa lý, Năng khiếu Thể dục Thể thao (7ngành)
- T08: Toán, GDKTPL, Năng khiếu Thể dục thể thao (20ngành)
- X84: Ngữ văn, Công nghệ công nghiệp, Tiếng Nga (6ngành)
- M06: Ngữ Văn, Toán, Năng khiếu Giáo dục mầm non (28ngành)
- T09: Ngữ văn, Lịch sử, năng khiếu thể dục thể thao (9ngành)
- X66: Ngữ văn, Sinh học, GDKT&PL (7ngành)
- X54: Toán, GDKTPL, Công nghệ công nghiệp (20ngành)
- X55: Toán, GDKTPL, Công nghệ nông nghiệp (20ngành)
- X56: Toán, Tin học, Công nghệ công nghiệp (20ngành)
- X57: Toán, Tin học, Công nghệ nông nghiệp (20ngành)
- X19: Toán, Lịch sử, Công nghệ công nghiệp (20ngành)
- X20: Toán, Lịch sử, Công nghệ nông nghiệp (20ngành)
- X18: Toán, Lịch sử, Tin học (20ngành)
- X99: Ngữ văn, Tin học, Tiếng Nhật (6ngành)
- X76: Ngữ văn, Địa lí, Công nghệ công nghiệp (7ngành)
- Y08: Ngữ văn, GDKTPL, Công nghệ công nghiệp (7ngành)
- X77: Ngữ văn, Địa lí, Công nghệ nông nghiệp (7ngành)
- Y09: Ngữ văn, GDKTPL, Công nghệ nông nghiệp (7ngành)
- Y07: Ngữ văn, GDKTPL, Tin học (7ngành)
- X64: Ngữ văn, Hóa học, Công nghệ công nghiệp (6ngành)
- X65: Ngữ văn, Hóa học, Công nghệ nông nghiệp (6ngành)
- X63: Ngữ văn, Hóa học, Tin học (6ngành)
- X72: Ngữ văn, Lịch sử, Công nghệ công nghiệp (9ngành)
- X73: Ngữ văn, Lịch sử, Công nghệ nông nghiệp (9ngành)
- X68: Ngữ văn, Sinh học, Công nghệ công nghiệp (6ngành)
- X69: Ngữ văn, Sinh học, Công nghệ nông nghiệp (6ngành)
- X67: Ngữ văn, Sinh học, Tin học (6ngành)
- X81: Ngữ văn, Tiếng Anh, Công nghệ nông nghiệp (9ngành)
- X80: Ngữ văn, Tiếng Anh, Công nghệ công nghiệp (9ngành)
- Y10: Ngữ văn, Tin học, Công nghệ công nghiệp (6ngành)
- Y11: Ngữ văn, Tin học, Công nghệ nông nghiệp (6ngành)
- X60: Ngữ văn, Vật lí, Công nghệ công nghiệp (6ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (7ngành)
- X61: Ngữ văn, Vật lí, Công nghệ nông nghiệp (6ngành)
- X59: Ngữ văn, Vật lí, Tin học (6ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (9ngành)
- AH4: Toán, Sinh học, Tiếng Hàn (22ngành)
