Trường: Trường Đại Học CMC (Mã: CMC)
Các khối thi / tổ hợp xét tuyển:

- T07: Ngữ văn, Địa lý, Năng khiếu Thể dục Thể thao (13ngành)
- T08: Toán, GDKTPL, Năng khiếu Thể dục thể thao (18ngành)
- X84: Ngữ văn, Công nghệ công nghiệp, Tiếng Nga (13ngành)
- M06: Ngữ Văn, Toán, Năng khiếu Giáo dục mầm non (18ngành)
- T09: Ngữ văn, Lịch sử, năng khiếu thể dục thể thao (13ngành)
- X66: Ngữ văn, Sinh học, GDKT&PL (13ngành)
- X54: Toán, GDKTPL, Công nghệ công nghiệp (18ngành)
- X55: Toán, GDKTPL, Công nghệ nông nghiệp (18ngành)
- X56: Toán, Tin học, Công nghệ công nghiệp (18ngành)
- X57: Toán, Tin học, Công nghệ nông nghiệp (18ngành)
- X19: Toán, Lịch sử, Công nghệ công nghiệp (18ngành)
- X20: Toán, Lịch sử, Công nghệ nông nghiệp (18ngành)
- X18: Toán, Lịch sử, Tin học (18ngành)
- X99: Ngữ văn, Tin học, Tiếng Nhật (13ngành)
- X76: Ngữ văn, Địa lí, Công nghệ công nghiệp (13ngành)
- Y08: Ngữ văn, GDKTPL, Công nghệ công nghiệp (13ngành)
- X77: Ngữ văn, Địa lí, Công nghệ nông nghiệp (13ngành)
- Y09: Ngữ văn, GDKTPL, Công nghệ nông nghiệp (13ngành)
- Y07: Ngữ văn, GDKTPL, Tin học (13ngành)
- X64: Ngữ văn, Hóa học, Công nghệ công nghiệp (13ngành)
- X65: Ngữ văn, Hóa học, Công nghệ nông nghiệp (13ngành)
- X63: Ngữ văn, Hóa học, Tin học (13ngành)
- X72: Ngữ văn, Lịch sử, Công nghệ công nghiệp (13ngành)
- X73: Ngữ văn, Lịch sử, Công nghệ nông nghiệp (13ngành)
- X68: Ngữ văn, Sinh học, Công nghệ công nghiệp (13ngành)
- X69: Ngữ văn, Sinh học, Công nghệ nông nghiệp (13ngành)
- X67: Ngữ văn, Sinh học, Tin học (13ngành)
- X81: Ngữ văn, Tiếng Anh, Công nghệ nông nghiệp (13ngành)
- X80: Ngữ văn, Tiếng Anh, Công nghệ công nghiệp (13ngành)
- Y10: Ngữ văn, Tin học, Công nghệ công nghiệp (13ngành)
- Y11: Ngữ văn, Tin học, Công nghệ nông nghiệp (13ngành)
- X60: Ngữ văn, Vật lí, Công nghệ công nghiệp (13ngành)
- DH1: Ngữ văn, Địa lí, Tiếng Hàn (13ngành)
- X61: Ngữ văn, Vật lí, Công nghệ nông nghiệp (13ngành)
- X59: Ngữ văn, Vật lí, Tin học (13ngành)
- DH5: Ngữ văn, Lịch sử, Tiếng Hàn (13ngành)
- AH4: Toán, Sinh học, Tiếng Hàn (18ngành)
