Trường: Học Viện Hàng không Việt Nam (Mã: HHK)
Các khối thi / tổ hợp xét tuyển:

- X71; TH11: Ngữ văn, Lịch sử, Tin học (18ngành)
- X53: Toán, GDKTPL, Tin học (33ngành)
- D96: Toán, Khoa học xã hội, Tiếng Anh (33ngành)
- AH3: Toán, Vật lí, Tiếng Hàn (34ngành)
- DD2: Ngữ văn, Toán, Tiếng Hàn (34ngành)
- AH2: Toán, Hóa học, Tiếng Hàn (34ngành)
- AH5: Toán, Lịch sử, Tiếng Hàn (33ngành)
- D36: Toán, Lịch sử, Tiếng Đức (33ngành)
- D38: Toán, Lịch sử, Tiếng Nhật (33ngành)
- D40: Toán, Lịch sử, Tiếng Trung (34ngành)
- D37: Toán, Lịch sử, Tiếng Nga (33ngành)
- X86: Ngữ văn, GDKTPL, Tiếng Pháp (18ngành)
- V10: Toán, Tiếng Pháp, Vẽ mỹ thuật (33ngành)
- M05: Ngữ văn, Khoa học xã hội, Năng khiếu (18ngành)
- M08: Ngữ Văn, Năng Khiếu 1, Năng Khiếu 2 (18ngành)
- X45: Toán, GDKTPL, Tiếng Nhật (33ngành)
- X33: Toán, GDKTPL, Tiếng Pháp (33ngành)
- D48: Ngữ văn, Hóa học, Tiếng Nhật (18ngành)
- D49: Ngữ văn, Hóa học, Tiếng Pháp (18ngành)
- X36: Toán, Công nghệ nông nghiệp, Tiếng Pháp (33ngành)
- D51: Ngữ văn, Vật lí, Tiếng Đức (18ngành)
- D52: Ngữ văn, Vật lí, Tiếng Nga (18ngành)
- D53: Ngữ văn, Vật lí, Tiếng Nhật (18ngành)
- X39: Toán, Công nghệ công nghiệp, Tiếng Trung (33ngành)
- D56: Ngữ văn, Sinh học, Tiếng Đức (18ngành)
- X40: Toán, Công nghệ nông nghiệp, Tiếng Trung (33ngành)
- D57: Ngữ văn, Sinh học, Tiếng Nga (18ngành)
- D58: Ngữ văn, Sinh học, Tiếng Nhật (18ngành)
- D59: Ngữ văn, Sinh học, Tiếng Pháp (18ngành)
- D60: Ngữ văn, Sinh học, Tiếng Trung (18ngành)
- DH3: Ngữ văn, Vật lí, Tiếng Hàn (19ngành)
- DH4: Ngữ văn, Sinh học, Tiếng Hàn (19ngành)
- X30: Toán, Tin học, Tiếng Nga (33ngành)
- X31: Toán, Công nghệ công nghiệp, Tiếng Nga (33ngành)
- X32: Toán, Công nghệ nông nghiệp, Tiếng Nga (33ngành)
- X37; D89: Toán, GDKTPL, Tiếng Trung (1ngành)
- X34: Toán, Tin học, Tiếng Pháp (33ngành)
- T10: Toán, Vật lý, Năng khiếu Thể dục Thể thao (33ngành)
- X90: Ngữ văn, GDKTPL, Tiếng Trung (19ngành)
- R04: Ngữ văn, Biểu diễn nghệ thuật, Năng khiếu văn hóa nghệ thuật (18ngành)
- M07: Ngữ Văn, Địa lý, Năng khiếu đọc diễn cảm và Hát (18ngành)
- H09: Ngữ Văn, Địa, Năng khiếu (18ngành)
- H10; H11; H06: Ngữ Văn, Ngoại ngữ, năng khiếu (18ngành)
- X35: Toán, Công nghệ công nghiệp, Tiếng Pháp (33ngành)
- X83: Ngữ văn, Tin học, Tiếng Nga (18ngành)
- T06: Toán, Địa lý, Năng khiếu Thể dục thể thao (33ngành)
- T07: Ngữ văn, Địa lý, Năng khiếu Thể dục Thể thao (18ngành)
- T08: Toán, GDKTPL, Năng khiếu Thể dục thể thao (33ngành)
